Gene,Reference
dna replication cdt1,dna replication cdt1
human single-stranded dna binding proteins,human single-stranded dna binding proteins
serine-threonine kinase,serine-threonine kinase
rpa-ssdna,rpa-ssdna
pol epsilon,pol epsilon
cdc25a,cdc25a
type ii topoisomerases,type ii topoisomerases
checkpoint kinase rad53,checkpoint kinase rad53
dna polymerase epsilon,dna polymerase epsilon
rad51,hrad51
ataxia telangiectasia mutated,ataxia telangiectasia mutated
cki,ek
rad9 complexes,rad9 complexes
dna replicative helicases,dna replicative helicases
mcm4,cdc21
atr kinase,atr kinase
rpa1,repa1
mcm2-7-related protein,mcm2-7-related protein
mcm2-7 complex,mcm2-7 complex
cdc6 protein,cdc6 protein
mec1,sckl
cdk kinase,cdk kinase
sld3-associated protein,sld3-associated protein
cdc45,porc-pi-1
ctf4,and1
rad50,nbsld
p21,tceal1
ic,ic
"cdks, specific threonine-serine protein kinases","cdks, specific threonine-serine protein kinases"
geminin,geminin
hus1,hus1
atr,sckl
cdc45 protein,cdc45 protein
cdt1,hdm2
cyclin a complex,cyclin a complex
histone h2ax,histone h2ax
fancj,bach-1
gmc helicase,gmc helicase
cdt1 protein,cdt1 protein
mcm2-7 helicase,mcm2-7 helicase
tim,tim-1
pit,camk1g
myb,cmyb
tnf,dif
mesenteric veins,mesenteric veins
ifn-β-mediated il-18,ifn-β-mediated il-18
nk1,by55
inhibitor type 1,inhibitor type 1
myd88-il-12,myd88-il-12
pai-1,planh1
portal vein,portal vein
von willebrand factor,von willebrand factor
myd88,myd88
caspase-1,caspase-1
plasminogen,plasminogen
interferon-γ,interferon-γ
rip3,mprip
hepatitis,hepatitis
il-1 family,il-1 family
hypercoagulability,hypercoagulability
coagulopathy,coagulopathy
intestinal,intestinal
liver regeneration,liver regeneration
toll-like receptor,toll-like receptor
tf,mypcn
interleukin-18 binding protein,interleukin-18 binding protein
jack bean-derived lectin,jack bean-derived lectin
plasmin,plasmin
tlr9,tlr9
factor vii,factor vii
nitric oxide synthase,nitric oxide synthase
liver diseases,liver diseases
il-1b,il1-beta
cirrhosis,cirrhosis
ril-18,ril-18
caspase-1-independent il-1b,caspase-1-independent il-1b
hepatic fibrosis,hepatic fibrosis
liver sinusoid,liver sinusoid
trif,iiae6
murine type 1 plasminogen activator inhibitor gene,murine type 1 plasminogen activator inhibitor gene
lps,camk1g
hepatic necrosis,hepatic necrosis
fas ligand,fas ligand
liver disease,liver disease
tissue factor,tissue factor
thrombin,thrombin
ifn-γ,ifn-γ
interleukin-10,interleukin-10
autoimmune hepatitis,autoimmune hepatitis
interleukin-18,interleukin-18
metabolic disease,metabolic disease
tlr3,cd283
tnf-α,tnf-α
interleukin-1β,interleukin-1β
anti-fas antibody,anti-fas antibody
liver failure,liver failure
interleukin 4,interleukin 4
tissue plasminogen activator,tissue plasminogen activator
stat1,candf7
cd95,spf
gut,gut
disseminated intravascular coagulation,disseminated intravascular coagulation
rad,ercc4
xl dab sag saa,xl dab sag saa
clusterin gene,clusterin gene
1×pbs,1×pbs
htert,htert
igf-1r receptor,igf-1r receptor
caveolin-1,caveolin-1
insulin-like growth factor-1 receptor,insulin-like growth factor-1 receptor
igf-1 tyrosine kinase receptor,igf-1 tyrosine kinase receptor
insulin-like growth factor 1-secretory clusterin,insulin-like growth factor 1-secretory clusterin
scr,scr
secretory clusterin,secretory clusterin
atm protein kinase,atm protein kinase
pd,pd
c-myc oncogenes,c-myc oncogenes
apolipoprotein j,apolipoprotein j
igf-1-sclu,igf-1-sclu
sa-β-gal+,sa-β-gal+
pot1,cmm10
ha,ha
jun,slc39a3
inhibitor cocktail ii,inhibitor cocktail ii
hsp72,hsp70-1
pulmonary emphysema,pulmonary emphysema
b1,lmod1
heat shock protein hsp72,heat shock protein hsp72
trf2,h6limo
cip1,neep21
clusterin/apolipoprotein j gene,clusterin/apolipoprotein j gene
erk-1/2,erk-1/2
bronchial,bronchial
ms,mtr
hsp27,hsp25
egr-1,egr-1
erk1-2,erk1-2
ls,hussy-01
clusterin,clusterin
pulmonary,pulmonary
hif-1α protein,hif-1α protein
fatty acid binding protein,fatty acid binding protein
of hip osteoarthritis,of hip osteoarthritis
nf-kappab,nfkb-p105
foxo1,foxo1a
rheumatic disease,rheumatic disease
sirt1,sir2alpha
hif1α protein,hif1α protein
parathyroid hormone-related protein,parathyroid hormone-related protein
mrp14,sap14a
ldha-lactate-hif1α,ldha-lactate-hif1α
alpha1,srxy8
glucagon-like peptide-1,glucagon-like peptide-1
obese,obese
mhc ii,mhc ii
hif-{alpha} isoforms,hif-{alpha} isoforms
ccl20,st38
ldh,ldh
il-6,dcua
high fat diet,high fat diet
knee,knee
airway,airway
udp-glucose dehydrogenase,udp-glucose dehydrogenase
tlr2,cd282
mrp8,sap14a
skeletal muscle,skeletal muscle
toll-like receptor 4 inhibitor,toll-like receptor 4 inhibitor
socs3,ssi-3
ldh-a,ldh-a
hif-1alpha,hif-1alpha
cd4+t,cd4+t
ad,ad
ip,ptgir
osteoarthritis,osteoarthritis
endothelial cell hif-1alpha,endothelial cell hif-1alpha
nd,lp-a3
kd,p73l
oa,oap
macrophage cgi-58,macrophage cgi-58
toll-like receptor 4,toll-like receptor 4
adiposity,adiposity
mouse hif1α specific sirnas,mouse hif1α specific sirnas
nad,nad
hif prolyl hydroxylase,hif prolyl hydroxylase
tirap,mal
knee osteoarthritis,knee osteoarthritis
erythropoietin,erythropoietin
allergic asthma,allergic asthma
cdc25c,h-grf55
phospho-histone h2ax,phospho-histone h2ax
signal transducer and activator of transcription,signal transducer and activator of transcription
peroxidase,peroxidase
interleukin-6,interleukin-6
stathmin,stathmin
sd,rangap
fungal gl,fungal gl
ml,ml
ctip,mrx87
signal transducer and activator of transcription 3,signal transducer and activator of transcription 3
stat3 inhibitor galiellalactone,stat3 inhibitor galiellalactone
foxn1,tlind
"1 μm of 2,7-dichlorofluorescein diacetate","1 μm of 2,7-dichlorofluorescein diacetate"
gl,ptg
tgf-beta,tgf-beta
h2ax,h2a/x
appropriate horseradish peroxidase,appropriate horseradish peroxidase
topoisomerase i poisons,topoisomerase i poisons
plan,plan
histone h2a variant h2ax,histone h2a variant h2ax
rnase a,rnase a
signal transducers and activators of transcription,signal transducers and activators of transcription
aldh,aldh
vp-16,vp-16
serine/threonine protein kinase domain,serine/threonine protein kinase domain
jnk3,jnk3
mitogen-activated protein kinase kinase 7,mitogen-activated protein kinase kinase 7
serine/threonine protein kinases,serine/threonine protein kinases
α-synuclein,α-synuclein
cyclooxygenase 2,cyclooxygenase 2
cox-2,ptghs
park8,dkfzp434h2111
parkinson disease,parkinson disease
parkin e3 ligase,parkin e3 ligase
rtp801,flj20500
fbp,folr1
neurological disorders,neurological disorders
ap-1,slc39a3
moesin,moesin
bcr,bcr
leucine-rich repeat kinase 2,leucine-rich repeat kinase 2
jnk-interacting protein 1,jnk-interacting protein 1
akt3,ppp1r13b
hippocampus,hippocampus
c-abl protein tyrosine kinase,c-abl protein tyrosine kinase
src family,src family
c-jun-n-terminal kinase,c-jun-n-terminal kinase
lrrk2 mutation,lrrk2 mutation
protein kinase complement,protein kinase complement
th,gch
parkinson’s disease kinase pink1,parkinson’s disease kinase pink1
tat protein transduction sequence,tat protein transduction sequence
akt1,cakb
da transporter,da transporter
serine/threonine kinase,serine/threonine kinase
c-jun nh2-terminal kinase 3,c-jun nh2-terminal kinase 3
c-jun n-terminal kinase 3,c-jun n-terminal kinase 3
wild-type pink1,wild-type pink1
phosphatase and tensin homolog,phosphatase and tensin homolog
major protein kinases,major protein kinases
lrrk2—along,lrrk2—along
parkinson disease-associated mutation r1441h,parkinson disease-associated mutation r1441h
phosphoprotein phosphatases,phosphoprotein phosphatases
tyrosine-kinase,tyrosine-kinase
cep,cep
p38 kinases,p38 kinases
apoptosis-inducing kinase 1,apoptosis-inducing kinase 1
pink1,pink1
abl family kinases,abl family kinases
lrrk2,dkfzp434h2111
posh,posh
mlk family,mlk family
lrrk2 mutations,lrrk2 mutations
siah1,siah1a
aminoacyl trna synthetase complex-interacting multifunctional protein 2,aminoacyl trna synthetase complex-interacting multifunctional protein 2
kinase 1,kinase 1
rac1-binding scaffold protein posh,rac1-binding scaffold protein posh
lrrk2 gtp,lrrk2 gtp
lrrk2 kinase,lrrk2 kinase
mek kinase 1-regulated response element,mek kinase 1-regulated response element
protein kinase b,protein kinase b
mitochondrial cytochrome c,mitochondrial cytochrome c
activating protein-1,activating protein-1
tyrosine kinase c-abl,tyrosine kinase c-abl
pkb,cakb
nix,nix
kinase,kinase
striatum,striatum
dj-1,hel-s-67p
gtpase,gtpase
glur6-9c peptide,glur6-9c peptide
aimp2,hld17
mul1,rnf218
serine/threonine protein kinase,serine/threonine protein kinase
jip1,jip1
hypertension,hypertension
parkinsonism,parkinsonism
dementia with lewy bodies,dementia with lewy bodies
myocardial infarct,myocardial infarct
liver x receptors,liver x receptors
p38 mapk,p38 mapk
and -ace antibodies,and -ace antibodies
cardiomyopathy,cardiomyopathy
interstitial fibrosis,interstitial fibrosis
sterol regulatory element binding protein-1c,sterol regulatory element binding protein-1c
asperosaponin vi,asperosaponin vi
ventricular,ventricular
diabetes,diabetes
anti-lxr-α,anti-lxr-α
nrf-2,e4tf1a
ace-ang ii,ace-ang ii
angiotensin-converting enzyme,angiotensin-converting enzyme
left coronary artery,left coronary artery
mitogen-activated protein kinases,mitogen-activated protein kinases
wuhan kang bao tai biotech co. ltd,wuhan kang bao tai biotech co. ltd
angiotensin-converting enzyme-2,angiotensin-converting enzyme-2
at1r,agtr1b
"α-sma, collagen i, collagen iii","α-sma, collagen i, collagen iii"
"anti-β-actin, -collagen i, -collagen iii, and -ang ii antibodies","anti-β-actin, -collagen i, -collagen iii, and -ang ii antibodies"
angiotensin converting enzyme 2,angiotensin converting enzyme 2
hearts,hearts
peritoneal fibrosis,peritoneal fibrosis
angiotensin-converting enzyme 2,angiotensin-converting enzyme 2
liver x receptor,liver x receptor
renin,renin
angiotensin ii receptor,angiotensin ii receptor
dehydrated,dehydrated
angiotensin ii type 1 receptor,angiotensin ii type 1 receptor
x receptor,x receptor
chronic heart failure,chronic heart failure
pfd,cfd
rosuvastatin plus losartan on liver x receptor mrna,rosuvastatin plus losartan on liver x receptor mrna
p38 mitogen- 1 activated protein kinase,p38 mitogen- 1 activated protein kinase
at1,atiii-t1
x receptor-alpha,x receptor-alpha
leptin,leptin
ace,flj31638
ischemia,ischemia
heart,heart
angiotension ii,angiotension ii
liver x receptor-α,liver x receptor-α
ace2,ace2
cardiac disease,cardiac disease
nonalcoholic fatty liver disease,nonalcoholic fatty liver disease
angiotensin-converting enzyme inhibition,angiotensin-converting enzyme inhibition
liver fibrosis,liver fibrosis
lxr-α,lxr-α
pancreatic fibrosis,pancreatic fibrosis
angiotensin ii type-1 receptor,angiotensin ii type-1 receptor
ace2-ang(1-7)-mas,ace2-ang(1-7)-mas
myocardial infarction,myocardial infarction
mas,beta-mpp
ace2-ang(1-7)-mas axes,ace2-ang(1-7)-mas axes
ace-angii-at1,ace-angii-at1
diabetes mellitus,diabetes mellitus
renal fibrosis,renal fibrosis
nuclear receptor family,nuclear receptor family
dehydration,dehydration
atrap,agtrap
lvh,lvh
at1 receptor,at1 receptor
idiopathic pulmonary fibrosis,idiopathic pulmonary fibrosis
x receptor-α,x receptor-α
heart failure,heart failure
lxr,lxr
gapdh,gapdh
transforming growth factor beta,transforming growth factor beta
anti-tgf-beta,anti-tgf-beta
type i collagen gene,type i collagen gene
collagen 1a1,collagen 1a1
pge2-ep3,pge2-ep3
collagen gene,collagen gene
cxc chemokine receptor 4,cxc chemokine receptor 4
transforming growth factor-beta,transforming growth factor-beta
graft-versus-host disease,graft-versus-host disease
tissue growth factor,tissue growth factor
connective tissue growth factor,connective tissue growth factor
peripheral vascular diseases,peripheral vascular diseases
type i and type vii collagen gene,type i and type vii collagen gene
ets-1 protein,ets-1 protein
lung fibrosis,lung fibrosis
transcription factor ets-1,transcription factor ets-1
fli-1,fli-1
ctgf,igfbp8
skin disorders,skin disorders
ets1,h3p43
scleroderma,scleroderma
prostaglandin e1,prostaglandin e1
human cathelicidin ll,human cathelicidin ll
thymosin beta-4,thymosin beta-4
p38 map kinases,p38 map kinases
sircol soluble collagen,sircol soluble collagen
ets-1,h3p43
foreskin,foreskin
sp1,coco
m-mlv reverse transcriptase,m-mlv reverse transcriptase
anti-ets-1 antibody,anti-ets-1 antibody
role of protease-activated receptors,role of protease-activated receptors
ets-1-targeting sirna,ets-1-targeting sirna
lipo-pge1,lipo-pge1
ba,ba
collagen type vi,collagen type vi
cacna1b,ano3
gene,gene
bmp type ii receptor,bmp type ii receptor
gnal gene,gnal gene
cdc34,cdc34
serotonin transporter gene,serotonin transporter gene
alpha 6 chain,alpha 6 chain
rp2 gene,rp2 gene
alt,alt
gaba(a) receptor subunits,gaba(a) receptor subunits
bed,myp1
ubiquitin-conjugating enzyme,ubiquitin-conjugating enzyme
epilepsy,epilepsy
mi variants,mi variants
gnal,gnal
beta-secretase,beta-secretase
cd4,okt4d
men,ppp1r68
maf,cca4
chronic hepatitis,chronic hepatitis
crhr1 gene,crhr1 gene
zinc finger-domain transcription factor,zinc finger-domain transcription factor
col6a6 gene,col6a6 gene
zscan1 gene,zscan1 gene
bo,bo
transforming growth factor-beta 2,transforming growth factor-beta 2
prdm16,kmt8f
chronic bronchitis,chronic bronchitis
stroke,stroke
ifn-γ gene,ifn-γ gene
htr1b,psmd7
neural cell adhesion molecule,neural cell adhesion molecule
status epilepticus,status epilepticus
column,column
name,name
5-hydroxytryptamine 1a receptor gene,5-hydroxytryptamine 1a receptor gene
3′ utr regions,3′ utr regions
human herpes virus 6,human herpes virus 6
bace1,bace
acute heart failure,acute heart failure
hipk2,pro0593
cns diseases,cns diseases
dopamine d2 receptor gene,dopamine d2 receptor gene
g-olf alpha,g-olf alpha
temporal lobe,temporal lobe
chr,chr
tgf beta,tgf beta
corticotropin-releasing hormone receptors,corticotropin-releasing hormone receptors
ht,ht
col6a6,col6a6
multiple sclerosis,multiple sclerosis
gm-csf,gmcsf
"cortex, cerebellar","cortex, cerebellar"
cacna2d4,rcd4
extracellular regulated protein kinases 1 and 2,extracellular regulated protein kinases 1 and 2
klf15,klf15
akt-c-myc,akt-c-myc
rabbit anti-erk1/2,rabbit anti-erk1/2
ikappab -zeta,ikappab -zeta
pkc,dyt10
klf10,tieg
interleukin-17,interleukin-17
p-erk1/2,p-erk1/2
tumor necrosis factor-alpha,tumor necrosis factor-alpha
lipocalin-2 protein,lipocalin-2 protein
infectious diseases,infectious diseases
mek1/2,mek1/2
pc-ppp1r18,pc-ppp1r18
p-jnk,p-jnk
ngal,lcn2
neutrophil,neutrophil
c/ebp-delta,crp3
neutrophil gelatinase associated lipocalin,neutrophil gelatinase associated lipocalin
e74-like factor 3,e74-like factor 3
retinoid x receptor,retinoid x receptor
mmp9,gelb
pc,nec 2
pkc isozymes,pkc isozymes
neutrophil gelatinase-associated lipocalin,neutrophil gelatinase-associated lipocalin
stroma,stroma
lcn2,lcn2
c/ebp-beta,lap
lcn2 gene,lcn2 gene
mouse anti-p-erk1/2,mouse anti-p-erk1/2
"lu chen, arjun sinkemani, kun wang","lu chen, arjun sinkemani, kun wang"
yap oncoprotein,yap oncoprotein
intervertebral disc,intervertebral disc
lumbar disc degeneration,lumbar disc degeneration
ctgf gene,ctgf gene
cell clusters,cell clusters
lats1 mrna,lats1 mrna
laminin receptors,laminin receptors
yap knockdown,yap knockdown
mean±sd,mean±sd
spine,spine
lats1,warts
vertebral body,vertebral body
gata4,avsd
yes-associated protein,yes-associated protein
tead4,reps2
yap-lats,yap-lats
mcs,gpx4
intervertebral discs,intervertebral discs
bmp13,gdf6
yap,hcca1
human bone,human bone
30s,30s
cad-11-modified collagen type ii,cad-11-modified collagen type ii
chamber,chamber
vgll4,vgl-4
lats2,lats2
hippo-yap,hippo-yap
disc,disc
sa-β-gal,sa-β-gal
taz,lvncx
ctgf protein,ctgf protein
yet upstream lats1,yet upstream lats1
f12,sart1259
intervertebral disc degeneration,intervertebral disc degeneration
rfn,rex2
nucleus pulposus,nucleus pulposus
vertebral,vertebral
collagen type 2,collagen type 2
blood vessels,blood vessels
idd,idd
tails,tails
p-yap,p-yap
hippo pathway kinases lats1/2,hippo pathway kinases lats1/2
"lu mao, haomin yu","lu mao, haomin yu"
capillaries,capillaries
npc,znf635m
usp28,usp28
disc degeneration,disc degeneration
lgr5^ sup+^,lgr5^ sup+^
breast cancer susceptibility gene product fibroblast growth factor receptor 2,breast cancer susceptibility gene product fibroblast growth factor receptor 2
jak-stat,jak-stat
lama2,lamm
14-3-3 zeta,14-3-3 zeta
pi3k-akt,pi3k-akt
pml,pml
er exit sites,er exit sites
myopathy,myopathy
mitogen activated protein,mitogen activated protein
itgb7,itgb7
syntaxin 7,syntaxin 7
col5a3,col5a3
fam3c,ilei
csf1r,m-csf-r
ddp,ddp1
vesicle-associated membrane protein 7,vesicle-associated membrane protein 7
itgb4,lap1c
fgfr4,tkf
rap1,krev-1
akt2 isoforms,akt2 isoforms
pdgfra,cd140a
nodes,nodes
stk11,hlkb1
vamp-7,vamp7
frs2,frs1a
kdr,kdr
casein kinase 1 isoforms,casein kinase 1 isoforms
tuberin,tsc4
rap1a,krev-1
ccnd1,prad1
raf,raf
csnk1d,cki-delta
platelet-derived growth factor,platelet-derived growth factor
hsp90,lap-2
vascular endothelial growth factor receptor 2,vascular endothelial growth factor receptor 2
oliva,oliva
tnn,tn-w
rap-interacting proteins,rap-interacting proteins
limb-girdle muscular dystrophies,limb-girdle muscular dystrophies
pi3-kinase,pi3-kinase
hsp90aa,hsp90aa
homotypic lysosome fusion,homotypic lysosome fusion
phospholipase,phospholipase
fgf17,bfgf
tsc1,tsc4
sgk1 gene,sgk1 gene
t-snare syntaxin 6,t-snare syntaxin 6
gene-gene,gene-gene
fibroblast growth factor receptor 2 iiib c3 isoform,fibroblast growth factor receptor 2 iiib c3 isoform
ribosomal protein genes,ribosomal protein genes
od,od
di,cd233
jp,jpd
transcription factor 9,transcription factor 9
estrogen-related receptor,estrogen-related receptor
cam-dr,cam-dr
mdr1,kiaa0882
mono,mono
anti-gapdh antibody,anti-gapdh antibody
giant,giant
gsc,ipip27a
92-kda type iv collagenase,92-kda type iv collagenase
fibronectin iii-1 domain,fibronectin iii-1 domain
extracellular signal-regulated kinase,extracellular signal-regulated kinase
trail,tl2
p-glycoprotein,p-glycoprotein
spy1,ringo3
abcg2 protein,abcg2 protein
plasma fibronectin,plasma fibronectin
mir,c-mir
notch1,hn1
rb proteins,rb proteins
abc transporters,abc transporters
laminin,laminin
p53 downstream genes,p53 downstream genes
p53 target genes,p53 target genes
ss5 receptor,ss5 receptor
emap-ii,emap-ii
sox-2,sox-2
bcrp,ne-dlg
csf,kalinin-105kda
anti-mouse igg,anti-mouse igg
cam,kmt
cd133,srxy8
horse radish peroxidase,horse radish peroxidase
p53 network,p53 network
myc-associated zinc-finger protein,myc-associated zinc-finger protein
nestin,nestin
kip1,sip2-28
atlas,atlas
mts,ddp1
abc transporter families,abc transporter families
hes1,gatd3a
integrin fak,integrin fak
cpeb1,hcpeb-1
glial fibrillary acidic protein,glial fibrillary acidic protein
plasmid pta-fluc,plasmid pta-fluc
type iv collagen,type iv collagen
human immunodeficiency virus,human immunodeficiency virus
focal adhesion kinase,focal adhesion kinase
abcc,hdm2
tie2,vmcm
retinal,retinal
sox2,sox2
mrp,muc2
ki-67 protein,ki-67 protein
human abcb1,human abcb1
wnt10a,ssps
apc complex,apc complex
transglutaminase,transglutaminase
zeb1,bzp
cd44+cd24+gastric,cd44+cd24+gastric
notch1 receptor intracellular domain,notch1 receptor intracellular domain
gli,ppd1
cdk6,plstire
insulin-like growth factor type 1 receptor,insulin-like growth factor type 1 receptor
mst1/2,mst1/2
notch2,notch2
lymph node,lymph node
rna-binding factor hur,rna-binding factor hur
snail-1,snail-1
twist1,scs
lymphoid enhancer factor,lymphoid enhancer factor
gli3,dnai1
muc2,muc2
frizzled receptor,frizzled receptor
gli1,ppd1
apc,gpr44
h-ras,h-ras
sox10,sox10
cyclin d2,cyclin d2
lats1/2,lats1/2
manganese superoxide dismutase,manganese superoxide dismutase
rela,hsn2
vascular endothelial growth factor receptor 1,vascular endothelial growth factor receptor 1
transcription factor family,transcription factor family
nfkb1,nfkb-p105
insulin-like growth factor-i receptor,insulin-like growth factor-i receptor
cp,cp
wnt ligand,wnt ligand
gli2,thp1
jagged2,jagged2
lox,aat10
jagged1,jagged1
ck1,ehk
her2-negative,her2-negative
rhoa,rho12
gsk3,gsk3
snail,snail
transform growth factor beta 1,transform growth factor beta 1
ca2+,ca2+
notch receptor,notch receptor
tumor 5-lipoxygenase,tumor 5-lipoxygenase
lipoprotein receptor-related protein 5/6,lipoprotein receptor-related protein 5/6
nuclear factor-kappa b,nuclear factor-kappa b
five-lipoxygenase-activating protein,five-lipoxygenase-activating protein
p27kip1,sip2-28
n-ras,cmns
slug,slug
c-rel,c-rel
rhotekin,rhotekin
sonic hedgehog protein,sonic hedgehog protein
stomach,stomach
nasopharyngeal,nasopharyngeal
cox enzymes,cox enzymes
nodal,htx5
axin2,axil
activin,inhbe
nfkb2,lyt-10
sall4,hsal4
vascular endothelial growth factor,vascular endothelial growth factor
epstein,epstein
glycogen synthase kinase-3 beta,glycogen synthase kinase-3 beta
mcc,mcc1
runx3,cbfa3
notch3,cadasil
crest,crest
epha2,ctpa
ptch receptor,ptch receptor
p16 promoter,p16 promoter
cox-1,cox-1
proto-oncogene β-catenin,proto-oncogene β-catenin
snail gene,snail gene
mmp,mmp
matrix metalloproteinase-1,matrix metalloproteinase-1
zeb-1,zeb-1
transforming growth factor-βtype i receptor gene,transforming growth factor-βtype i receptor gene
foxq1,hfh1
oncogenic gtpase,oncogenic gtpase
maml1,kiaa0200
fgfr2 gene,fgfr2 gene
relb,imd53
twist,scs
tgf-β1 gene,tgf-β1 gene
bone morphogenetic proteins,bone morphogenetic proteins
cdh1,fzr2
tissue transglutaminase-1,tissue transglutaminase-1
12-lipoxygenase,12-lipoxygenase
frizzled related protein,frizzled related protein
yap1,yap2
sip1,octs2
matrix metalloproteinases mmp-2,matrix metalloproteinases mmp-2
ags,crv
matrix metalloproteinase 9,matrix metalloproteinase 9
glandular,glandular
il-8 gene,il-8 gene
prrx1,pmx1
mst1/1,mst1/1
wnt-5a,wnt-5a
t-cell factor,t-cell factor
cox-2/ prostaglandin e2,cox-2/ prostaglandin e2
axin,axin1
pe anti-human cd318,pe anti-human cd318
pdgf-bb ligand,pdgf-bb ligand
cub-domain-containing protein 1,cub-domain-containing protein 1
activating src family kinases,activating src family kinases
pdgf-bb,pdgf-bb
mda-mb,mda-mb
vhl,trc8
ihc cdcp1,ihc cdcp1
egf-egfr,egf-egfr
pdgfr beta,pdgfr beta
polyclonal anti-rabbit or -mouse igg,polyclonal anti-rabbit or -mouse igg
platelet-derived growth factor beta-receptor,platelet-derived growth factor beta-receptor
cub domain containing protein,cub domain containing protein
cdcp1 protein,cdcp1 protein
rabbit polyclonal anti-cdcp1,rabbit polyclonal anti-cdcp1
phospho-cdcp1,phospho-cdcp1
src-associated protein cub domain-containing protein-1,src-associated protein cub domain-containing protein-1
alexa fluor® 647 anti-human cd318,alexa fluor® 647 anti-human cd318
p80,bun62
cdcp1 genetic,cdcp1 genetic
cub domain containing protein 1,cub domain containing protein 1
mir-200,mir-200
cdcp1 gene,cdcp1 gene
mda-mb-468,mda-mb-468
cub-domain containing protein 1,cub-domain containing protein 1
platelet-derived growth factor receptors,platelet-derived growth factor receptors
p44/42 mapk,p44/42 mapk
cub domain-containing protein 1,cub domain-containing protein 1
mir-9,mir-9
bone morphogenetic protein 4,bone morphogenetic protein 4
src family kinases,src family kinases
prs,prs
human epidermal growth factor receptor-2,human epidermal growth factor receptor-2
anti-cdcp1,anti-cdcp1
gs,gpr44
pdgf receptor,pdgf receptor
fig,fig
platelet-derived growth factor-bb,platelet-derived growth factor-bb
mouse monoclonal anti-actin,mouse monoclonal anti-actin
platelet-derived growth factor beta receptor,platelet-derived growth factor beta receptor
ers,ers
mouse monoclonal anti-phospho-pdgfrβ,mouse monoclonal anti-phospho-pdgfrβ
src kinases,src kinases
platelet derived growth factor,platelet derived growth factor
cdcp1,trask
cep3,cdc42ep3
protein kinase a,protein kinase a
sash1,kiaa0790
ccne1,ccne
gsk-3β,gsk-3β
bca protein assay kit,bca protein assay kit
anti-casp3,anti-casp3
creb,creb1
follicular,follicular
gsk,gsk
follicle,follicle
cytochrome p450 family 19 subfamily a member 1,cytochrome p450 family 19 subfamily a member 1
glycogen synthase kinase-3beta,glycogen synthase kinase-3beta
glycogen synthase kinase 3 beta,glycogen synthase kinase 3 beta
fatty acid amide hydrolase,fatty acid amide hydrolase
cyp19a1,aro1
gab2,gab2
a-kinase anchoring protein 95,a-kinase anchoring protein 95
ovarian follicles,ovarian follicles
body fat,body fat
follicle-stimulating hormone receptors,follicle-stimulating hormone receptors
aromatase,aro1
autoimmune diseases,autoimmune diseases
hoxc13,cypia1
casp3,cpp32
tumor necrosis factor-α,tumor necrosis factor-α
cardiovascular disease,cardiovascular disease
wsn,wsn
metabolic syndrome,metabolic syndrome
add,add
cholesteatoma,cholesteatoma
pituitary glycoprotein hormone,pituitary glycoprotein hormone
anova,anova
pka-nf-κb,pka-nf-κb
fshr,fshr1
follicle-stimulating hormone,follicle-stimulating hormone
pka-gsk-3β,pka-gsk-3β
vaginal,vaginal
ovary,ovary
nuclear factor kappab,nuclear factor kappab
cck-8,cck-8
herpes simplex,herpes simplex
interleukin 6,interleukin 6
emt-related genes,emt-related genes
kit-8,kit-8
ido1,ido
tumor immunity,tumor immunity
microvessel,microvessel
si-ido1,si-ido1
ido-1,ido
interleukin 6/signal transducer and activator of transcription 3,interleukin 6/signal transducer and activator of transcription 3
pd-1,rpl17
"indoleamine 2,3-dioxygenase 1","indoleamine 2,3-dioxygenase 1"
goat anti-rabbit antibody igg,goat anti-rabbit antibody igg
streptavidin–horseradish peroxidase,streptavidin–horseradish peroxidase
pd-l1,b7h1
p-stat3,p-stat3
"indoleamine 2,3-dioxygenase","indoleamine 2,3-dioxygenase"
ctla-4,gse
il6,dcua
cck8,cck8
immune suppression,immune suppression
ido1 antibody,ido1 antibody
stat,ipip27a
jak2,jtk10
rt-qpcr,rt-qpcr
ido1 mrna,ido1 mrna
stim1 protein,stim1 protein
trpv4 serine 824,trpv4 serine 824
nox2,gp91phox
stim1,d11s4896e
orai1 c-terminus,orai1 c-terminus
lungs,lungs
lung edema,lung edema
pulmonary edema,pulmonary edema
c-src tyrosine kinase,c-src tyrosine kinase
serine/threonine kinases,serine/threonine kinases
orai1,orat1
acute respiratory distress syndrome,acute respiratory distress syndrome
sphingosine kinase-1,sphingosine kinase-1
pkcα isoform,pkcα isoform
p120-catenin,p120-catenin
sphingosine-1-phosphate receptor,sphingosine-1-phosphate receptor
c-fos,slc39a3
respiratory failure,respiratory failure
cord,cord1
lung lobe,lung lobe
vascular inflammation,vascular inflammation
left lung,left lung
pkcα protein,pkcα protein
balf protein,balf protein
trp channels,trp channels
protein kinase c-alpha,protein kinase c-alpha
anti-stim1,anti-stim1
group v phospholipase a(2),group v phospholipase a(2)
bca protein,bca protein
cd4+,cd4+
v8,v8
nuclear factor κb,nuclear factor κb
ap1,slc39a3
nos1,ino1
pten s,pten s
nos2,ino1
nos3,enos
kfs,gdf6
pseudofolliculitis barbae,pseudofolliculitis barbae
p70 ribosomal s6 kinase 1,p70 ribosomal s6 kinase 1
anti-human e-cadherin,anti-human e-cadherin
pyruvate kinase isoenzyme type m2,pyruvate kinase isoenzyme type m2
pyruvate kinase m2,pyruvate kinase m2
trim44,an3
