Gene,Reference
dnaa,dnaa
tipin proteins,tipin proteins
mcm9,dj329l24.3
dbf4,ask
topbp1the,topbp1the
dna polymerase a,dna polymerase a
sta,lemd5
tel1,agtr1b
dna polymerase α,dna polymerase α
brca1,brcc1
chk1-regulatory protein,chk1-regulatory protein
ataxia telangiectasi,ataxia telangiectasi
e2f-specifc genes,e2f-specifc genes
cons,cons
replication protein a,replication protein a
gins in budding yeastsld7,gins in budding yeastsld7
dna primase-polymerase,dna primase-polymerase
ccdc111,myp22
mcm8,mcm8
sld2,sld2
9-1-1 checkpoint complex,9-1-1 checkpoint complex
nbs1,flj20510
rad17,rad24
sld3 proteins,sld3 proteins
ataxia telangiectasia mutat,ataxia telangiectasia mutat
human mcm protein family,human mcm protein family
cdc6,cdc18l
brct domains,brct domains
g1-cyclinsa vertebrate gene,g1-cyclinsa vertebrate gene
dna topoisomerases,dna topoisomerases
topbp1,topbp1
dna-pk,dna-pk
atm-and rad3-related,atm-and rad3-related
rad53,hucds1
dna polymerase alphastructure,dna polymerase alphastructure
cdc7,hucdc7
cyclin e,cyclin e
cdks,cdks
dna polymerase,dna polymerase
primasea,primasea
mre11,hmre11b
tipin,flj20516
dna polymerase alpha,dna polymerase alpha
rlf-b,rlf-b
parp-1,parp7
ticrr,flj41618
atrchk1,atrchk1
mcm2-7,mcm2-7
mcm proteins,mcm proteins
human cdt1,human cdt1
cdc25 a phosphatasecdc25 phosphatases,cdc25 a phosphatasecdc25 phosphatases
topoisomerases,topoisomerases
rad17 complexesatrip,rad17 complexesatrip
type i and iii topoisomerases,type i and iii topoisomerases
poly (adp-ribose) polymerase-1,poly (adp-ribose) polymerase-1
dub3,usp17l
cdk1,pold
translesion dna polymerases,translesion dna polymerases
timeless,tim-1
cellular replication protein a,cellular replication protein a
atm,agtr1b
pre-ic,pre-ic
xmus101,xmus101
cyclin,cyclin
helicase,hfm1
dna polymerase kappa,dna polymerase kappa
forkreplication protein a,forkreplication protein a
serine-threonine kinase,serine-threonine kinase
gemc1,gmnc
dna helicase,dna helicase
hrad17,rad24
dna-replication factor mcm4,dna-replication factor mcm4
rad17mrc1,rad17mrc1
primase,primase
atr activators,atr activators
dna polymerase epsilon,dna polymerase epsilon
rad51,hrad51
hmcm8autoradiography,hmcm8autoradiography
cki,ek
cell-cycle checkpoint gene atr,cell-cycle checkpoint gene atr
ataxia telangiectasia mutated,ataxia telangiectasia mutated
sld3 mutants,sld3 mutants
b-type cyclins,b-type cyclins
pol (epsilon},pol (epsilon}
rad9 complexes,rad9 complexes
mcm10,cna43
mcm4,cdc21
pikk regulatory domaintopbp1,pikk regulatory domaintopbp1
cdc45the,cdc45the
atr kinase,atr kinase
dna replicative helicases,dna replicative helicases
rpa1,repa1
mcm2-7-related protein,mcm2-7-related protein
cdc6 protein,cdc6 protein
rad3,rad3
mec1,sckl
sld3,flj41618
cdk kinase,cdk kinase
p34cdc2,pold
gins,gins
cycline,cycline
sld3-associated protein,sld3-associated protein
cdc45,porc-pi-1
dna,dna
ctf4,and1
rad50,nbsld
due-b,ba379j5.3
tof1,tof1
9-1-1,9-1-1
hus1,hus1
pho,pho
geminin,geminin
atr,sckl
cdc45 protein,cdc45 protein
cdt1,hdm2
cyclin a complex,cyclin a complex
rbtipin,rbtipin
fancj,bach-1
cdt1 protein,cdt1 protein
mcm2-7 helicase,mcm2-7 helicase
hexameric mcm2-7 complex,hexameric mcm2-7 complex
tim,tim-1
fibrinogen,fibrinogen
myb,cmyb
myeloid differentiation factor 88,myeloid differentiation factor 88
th2 responsesil-18,th2 responsesil-18
procaspase-1,procaspase-1
nlrp3 inflammasome,nlrp3 inflammasome
tnf,dif
tissue,tissue
fibrin,fibrin
il-18,il-1g
pai-1,planh1
toll-like receptors,toll-like receptors
von willebrand factor,von willebrand factor
tlr-associated signal adapter moleculesinterferon-γ-inducing factor,tlr-associated signal adapter moleculesinterferon-γ-inducing factor
nitric oxide synthaseinterleukin-18 binding protein,nitric oxide synthaseinterleukin-18 binding protein
tumor necrosis factor,tumor necrosis factor
il-12,il-12
myd88,myd88
il-1βactivation,il-1βactivation
interleukin-1β converting enzymenon-canonical inflammasome activation targets,interleukin-1β converting enzymenon-canonical inflammasome activation targets
plasminogen,plasminogen
tlr4,armd10
tir,tir
il-1 family,il-1 family
toll-like receptor,toll-like receptor
tf,mypcn
tpa,plat
jack bean-derived lectin,jack bean-derived lectin
plasmin,plasmin
pattern recognition receptors,pattern recognition receptors
tlr9,tlr9
factor vii,factor vii
plasminogen activator inhibitor type 1,plasminogen activator inhibitor type 1
con a,con a
il-1b,il1-beta
ril-18,ril-18
interferon,interferon
γ inducing factor,γ inducing factor
tlr,tlr
fibrinogen-γ,fibrinogen-γ
trif,iiae6
murine type 1 plasminogen activator inhibitor gene,murine type 1 plasminogen activator inhibitor gene
ifn-β,ifn-β
fas ligand,fas ligand
recombinant il-18,recombinant il-18
cellstlr4,cellstlr4
tissue factor,tissue factor
fdp,otor
thrombin,thrombin
ifn-γ,ifn-γ
tgf-β,tgf-β
apap,apap
interleukin-10,interleukin-10
caspase-11nalps,caspase-11nalps
interleukin-18,interleukin-18
caspase-8,caspase-8
tlr3,cd283
fas ligandfas,fas ligandfas
tnf-α,tnf-α
anti-fas antibody,anti-fas antibody
nuclear factor κb,nuclear factor κb
cd95,spf
interleukin 4,interleukin 4
tissue plasminogen activator,tissue plasminogen activator
stat1,candf7
th1,hspc130
nlrp3,ifrc
nk1.1pos,nk1.1pos
sclu shrna,sclu shrna
a,a
clusterin gene,clusterin gene
htert,htert
baxchallenge,baxchallenge
lamin b1,lamin b1
insulin-like growth factor-1 receptor,insulin-like growth factor-1 receptor
ncerclusterin,ncerclusterin
igf-1 tyrosine kinase receptor,igf-1 tyrosine kinase receptor
insulin-like growth factor 1-secretory clusterin,insulin-like growth factor 1-secretory clusterin
ras12v,ras12v
shclu,shclu
secretory clusterin,secretory clusterin
igf,igf1a
apolipoprotein,apolipoprotein
shrna,shrna
apolipoprotein j,apolipoprotein j
mab291,mab291
igf-1-sclu,igf-1-sclu
nclu,nclu
sa-β-gal+,sa-β-gal+
sclu,sclu
α-tubulin,α-tubulin
phospho-erk-1/2,phospho-erk-1/2
maf291,maf291
-gal+,-gal+
jun,slc39a3
hsp72,hsp70-1
β-gal+,β-gal+
pot1premature,pot1premature
heat shock protein hsp72,heat shock protein hsp72
hsp90,lap-2
rascells,rascells
o(a) sclu,o(a) sclu
phospho-ser15,phospho-ser15
hclu,hclu
trf2,h6limo
shrna-scr,shrna-scr
shrna-sclu,shrna-sclu
cip1,neep21
erk-1/2,erk-1/2
igf-1r receptor kinase,igf-1r receptor kinase
shclu containing fragment,shclu containing fragment
bax (a),bax (a)
egr-1,egr-1
-myc oncogenes,-myc oncogenes
psclu,psclu
igf-1r,igf-1r
erk1-2,erk1-2
clusterin,clusterin
hif1α,hif1α
 sitlr, sitlr
hif-1α protein,hif-1α protein
fatty acid binding protein,fatty acid binding protein
 ldh-, ldh-
foxo1,foxo1a
il-1β,il-1β
hfd,hfd
ikkbeta,ikkbeta
hypoxia-inducible factor-1alpha,hypoxia-inducible factor-1alpha
hif1α protein,hif1α protein
hif2alpha,hif2alpha
mrp14,sap14a
tlr4-i,tlr4-i
hif-1,hypb
mhc ii,mhc ii
-pcdna,-pcdna
hif-{alpha} isoforms,hif-{alpha} isoforms
glucagon-like peptide-1,glucagon-like peptide-1
ccl20,st38
sih-2,sih-2
ldh,ldh
il-6,dcua
tlr2,cd282
sildh,sildh
cartilage hif1α,cartilage hif1α
hif-2alpha,hif-2alpha
tlr4diet,tlr4diet
mrp8,sap14a
ros-inflammasome,ros-inflammasome
sirt1increased,sirt1increased
alpha1ampk,alpha1ampk
toll-like receptor 4 inhibitor,toll-like receptor 4 inhibitor
socs3,ssi-3
ldh-a,ldh-a
hif-1alpha,hif-1alpha
toll-like receptor 4current,toll-like receptor 4current
protein kinase,protein kinase
il-1beta,il-1beta
ovel,ovel
vegfobesity,vegfobesity
factor 1alpha,factor 1alpha
hypoxia-inducible factor 1,hypoxia-inducible factor 1
cgi-58,ncie2
hif1α specific sirnas,hif1α specific sirnas
 tlr, tlr
bsa,bsa
mouse hif1α specific sirnas,mouse hif1α specific sirnas
cd4+,cd4+
nf-κbrecently,nf-κbrecently
sinc,sinc
hif prolyl hydroxylase,hif prolyl hydroxylase
-luciferas,-luciferas
 hif1αth, hif1αth
tirap,mal
sih-1,sih-1
 hif1α protei, hif1α protei
ldha-lactate,ldha-lactate
erythropoietin,erythropoietin
nad,nad
f-kappab,f-kappab
cdc25c,h-grf55
anti-α-tubulin,anti-α-tubulin
gnext,gnext
dna damage sensor kinases,dna damage sensor kinases
interleukin-6,interleukin-6
stathmin,stathmin
peroxidase,peroxidase
chk2,hucds1
ctip,mrx87
human recombinant epidermal growth factor,human recombinant epidermal growth factor
stats,stats
patm,patm
foxn1stat3,foxn1stat3
activator of transcription (stat) 3,activator of transcription (stat) 3
vp-1,vp-1
cytochalasin d,cytochalasin d
gl,ptg
tgf-beta,tgf-beta
histone h2a variant,histone h2a variant
stathminactivated,stathminactivated
h2ax,h2a/x
dna repair proteinss,dna repair proteinss
cdc25c protein,cdc25c protein
stat3galiellalactone,stat3galiellalactone
cytochalasin ,cytochalasin 
pstat,pstat
pstat-5,pstat-5
rnase a,rnase a
alexa fluor 488 goat-anti-mouse igg,alexa fluor 488 goat-anti-mouse igg
phospho-histone h2ax (ser139),phospho-histone h2ax (ser139)
signal transducers and activators of transcription,signal transducers and activators of transcription
aldh,aldh
histone h2ax,histone h2ax
ddr,mcph24
foxn1nu,foxn1nu
ihc,ihc
γh2ax,γh2ax
topoisomerase i,topoisomerase i
tubulins,tubulins
nf-kappab,nfkb-p105
gcdc25c,gcdc25c
jnk3,jnk3
lrrk2 gtp bindingkinase,lrrk2 gtp bindingkinase
g2019s lrrk2 mutationthe,g2019s lrrk2 mutationthe
pkbγ,pkbγ
kinase-akt,kinase-akt
serine/threonine protein kinases,serine/threonine protein kinases
ine kinasesoncogenic,ine kinasesoncogenic
rac1-binding scaffold protein,rac1-binding scaffold protein
α-synuclein,α-synuclein
cyclooxygenase 2,cyclooxygenase 2
cox-2,ptghs
parkin,pdj
park8,dkfzp434h2111
leucine-rich repeat kinase-2,leucine-rich repeat kinase-2
stk39,paskin
parkin e3 ligase,parkin e3 ligase
fbp,folr1
c-abl,pik3r4
ligase,ligase
extracellular signal-related kinases,extracellular signal-related kinases
ap-1,slc39a3
apoptosis signal-regulating kinase 1,apoptosis signal-regulating kinase 1
moesin,moesin
bcr,bcr
leucine-rich repeat kinase 2,leucine-rich repeat kinase 2
jun n-terminal kinase 3,jun n-terminal kinase 3
akt3,ppp1r13b
protein posh,protein posh
c-abl protein tyrosine kinase,c-abl protein tyrosine kinase
src family,src family
g2019s lrrk2,g2019s lrrk2
serine 65pink1,serine 65pink1
lrrk2 mutation,lrrk2 mutation
ask1,ask1
th,gch
parkinson’s disease kinase pink1,parkinson’s disease kinase pink1
akt1,cakb
serine/threonine kinase,serine/threonine kinase
da transporter,da transporter
c-jun nh2-terminal kinase 3,c-jun nh2-terminal kinase 3
lrrk2lrrk2,lrrk2lrrk2
erminal kinase,erminal kinase
phosphatase and tensin homolog,phosphatase and tensin homolog
pkbα,pkbα
pink1hereditary,pink1hereditary
p38 kinases,p38 kinases
dat,dat
fas ligand promoterdominant,fas ligand promoterdominant
apoptosis-inducing kinase 1,apoptosis-inducing kinase 1
pink1,pink1
lrrk2,dkfzp434h2111
posh,posh
threonine and tyrosine kinases,threonine and tyrosine kinases
jun-n-terminal kinase,jun-n-terminal kinase
mlk family,mlk family
far up stream element binding protein,far up stream element binding protein
c-jun activation domaincep-1347,c-jun activation domaincep-1347
mek kinase 1,mek kinase 1
ubiquitin,ubiquitin
-rich repeat kinase 2,-rich repeat kinase 2
erks,erks
abl family kinasesregulation,abl family kinasesregulation
aminoacyl trna synthetase complex-interacting multifunctional protein 2,aminoacyl trna synthetase complex-interacting multifunctional protein 2
apoptosis signal-regulating kinase 1akt1,apoptosis signal-regulating kinase 1akt1
mixed-lineage kinase,mixed-lineage kinase
r1441c/g mutantslrk-1,r1441c/g mutantslrk-1
lrrk2 kinase,lrrk2 kinase
protein kinase b,protein kinase b
mitochondrial cytochrome c,mitochondrial cytochrome c
pd,pd
activating protein-1,activating protein-1
pkb,cakb
nix,nix
mpt,mpt
dj-1,hel-s-67p
poshposh,poshposh
rich repeat kinase 2,rich repeat kinase 2
pink1exp,pink1exp
gtpase,gtpase
glur6-9c peptide,glur6-9c peptide
parkinson’s disease mutants affect,parkinson’s disease mutants affect
aimp2,hld17
c-abl tyrosine-kinase,c-abl tyrosine-kinase
mul1,rnf218
jnk-interacting protein,jnk-interacting protein
serine/threonine protein kinase,serine/threonine protein kinase
pkbβ,pkbβ
pink1 mutations,pink1 mutations
-ang ii antibodies,-ang ii antibodies
phospho-p38,phospho-p38
α-sma,α-sma
keap-1,keap-1
angiotensin-converting enzyme-2,angiotensin-converting enzyme-2
ii,pacap-r2
angiotensin-(1-7),angiotensin-(1-7)
mapks,mapks
angiotensin-converting enzyme 2cardiac,angiotensin-converting enzyme 2cardiac
liver x receptors,liver x receptors
p38 mapk,p38 mapk
at1,atiii-t1
activated protein kinases,activated protein kinases
synthetic liver x receptor,synthetic liver x receptor
-collagen i,-collagen i
ang(1-7),ang(1-7)
angiotensin i,angiotensin i
mas,beta-mpp
phospho-p38 mapk,phospho-p38 mapk
ace antibodies,ace antibodies
signal-regulated kinase 1/2,signal-regulated kinase 1/2
ang (1-7),ang (1-7)
at1r,agtr1b
map kinase,map kinase
angii-at1,angii-at1
pe 1 receptor,pe 1 receptor
sterol regulatory element binding protein-1c,sterol regulatory element binding protein-1c
ang,hel168
leptin,leptin
x receptor mrna,x receptor mrna
anti-β-actin,anti-β-actin
mitogen- 1 activated protein kinase,mitogen- 1 activated protein kinase
angiotensin converting enzyme 2,angiotensin converting enzyme 2
ace,flj31638
liver x receptor,liver x receptor
low-density lipoprotein,low-density lipoprotein
renin,renin
ii receptor,ii receptor
angiotensin,angiotensin
masson,masson
-collagen iii,-collagen iii
anti-lxr-α,anti-lxr-α
lxrα,lxrα
atrapangiotensin ii type-1 receptor,atrapangiotensin ii type-1 receptor
collagen i,collagen i
activated protein kinase,activated protein kinase
angiotensin ii type 1 receptor,angiotensin ii type 1 receptor
angiotension ii,angiotension ii
liver x receptor-alpha,liver x receptor-alpha
collagen iii,collagen iii
nrf-2,e4tf1a
ang(1-7)-mas,ang(1-7)-mas
ace2,ace2
liver x receptor-α,liver x receptor-α
at1 receptor,at1 receptor
angiotensin-converting enzyme,angiotensin-converting enzyme
lxr-α,lxr-α
lxr,lxr
gapdh,gapdh
transforming growth factor beta,transforming growth factor beta
ep3,ep3-ii
ll-3,ll-3
tgf-betatranscription factor ets-1,tgf-betatranscription factor ets-1
type i collagen gene,type i collagen gene
human cathelicidin ll-37a cathelicidin family,human cathelicidin ll-37a cathelicidin family
human antimicrobial peptide ll-37in,human antimicrobial peptide ll-37in
collagen mrna,collagen mrna
collagen gene,collagen gene
hdf,hdf
collagen-dye complexes,collagen-dye complexes
matrixextracellular signal-regulated kinase,matrixextracellular signal-regulated kinase
ll-37,ll-37
connective tissue growth factor,connective tissue growth factor
sircol,sircol
ets-1 protein,ets-1 protein
type i and type vii collagen gene,type i and type vii collagen gene
f-beta,f-beta
collagen 1a1collagen 1a2collagen 3a1connective tissue growth factorextracellular,collagen 1a1collagen 1a2collagen 3a1connective tissue growth factorextracellular
ctgf,igfbp8
e1small interfering rnatransforming growth factor,e1small interfering rnatransforming growth factor
erk1,hs44kdap
p38 map kinases,p38 map kinases
ets-1,h3p43
sp1,coco
anti-ets-1 antibody,anti-ets-1 antibody
m-mlv reverse transcriptase,m-mlv reverse transcriptase
mcp-1,gdcf-2
hdfs,hdfs
ets-1-targeting sirna,ets-1-targeting sirna
tg,tgn
e1,aatf
ts-1,ts-1
ifn,ifn-alphad
bmp type ii receptor,bmp type ii receptor
gnal gene,gnal gene
collagen type vi,collagen type vi
gene,gene
nrep,p311
v5,v5
rp2 gene,rp2 gene
alpha 6 chain,alpha 6 chain
gnal,gnal
gaba(a) receptor subunits,gaba(a) receptor subunits
alt,alt
stop codons,stop codons
cd4(+),cd4(+)
mi variants,mi variants
transforming growth factor-beta,transforming growth factor-beta
cacna1a,cacna1a
il-10,tgif1
5-ht(1a) receptor,5-ht(1a) receptor
interleukin,interleukin
crhr1 gene,crhr1 gene
grch37,grch37
col6a6 gene,col6a6 gene
zinc finger-domain transcription factor,zinc finger-domain transcription factor
abeta peptides,abeta peptides
suc,suc
zscan1 gene,zscan1 gene
mi,shep3
tgf-β superfamily,tgf-β superfamily
yeast cell cycle gene cdc34,yeast cell cycle gene cdc34
start,start
prdm16,kmt8f
hi variants,hi variants
major beta-secretase,major beta-secretase
ubiquitin-conjugating enzymeof,ubiquitin-conjugating enzymeof
htr1b,psmd7
neural cell adhesion molecule,neural cell adhesion molecule
depressiontransforming growth factor-beta1,depressiontransforming growth factor-beta1
th3 cytokine,th3 cytokine
snpeff,snpeff
5-hydroxytryptamine 1a receptor,5-hydroxytryptamine 1a receptor
smad3,hst17436
human serotonin transporter gene,human serotonin transporter gene
hipk2,pro0593
comt,comt
g-olf alpha,g-olf alpha
"cacna1b, -1c, and -2d4","cacna1b, -1c, and -2d4"
cd25(+),cd25(+)
γ,γ
dopamine d2 receptor gene,dopamine d2 receptor gene
tgf beta,tgf beta
ref,aly
corticotropin-releasing hormone receptors,corticotropin-releasing hormone receptors
ncam1 interactionsadditionally,ncam1 interactionsadditionally
col6a6,col6a6
gm-csf,gmcsf
rotein,rotein
human grch37 reference sequence,human grch37 reference sequence
cacna2d4,rcd4
extracellular regulated protein kinases 1 and 2,extracellular regulated protein kinases 1 and 2
mitogen-activated protein kinase) signal pathway proteins,mitogen-activated protein kinase) signal pathway proteins
klf15,klf15
rxrnext,rxrnext
rxrluciferase,rxrluciferase
pkc,dyt10
ikappab -zeta,ikappab -zeta
klf10,tieg
mapk (,mapk (
interleukin-17,interleukin-17
neutrophil gelatinase -associated lipocalin,neutrophil gelatinase -associated lipocalin
- c-jun n-terminal kinase,- c-jun n-terminal kinase
pc-klf10,pc-klf10
p-erk1/2,p-erk1/2
tumor necrosis factor-alpha,tumor necrosis factor-alpha
lipocalin 2tumour stroma-derived lipocalin-2,lipocalin 2tumour stroma-derived lipocalin-2
response element binding proteins,response element binding proteins
mek1/2,mek1/2
lipocalin-2 protein,lipocalin-2 protein
pc-ppp1r18,pc-ppp1r18
p-jnk,p-jnk
luciferase,luciferase
ngal,lcn2
perk1/2a,perk1/2a
protein lipocalin 2,protein lipocalin 2
ros,ros
associated lipocalin,associated lipocalin
pkcfollowing,pkcfollowing
prltk,prltk
pkcthe,pkcthe
c-myc,myc
rxrin,rxrin
neutrophil gelatinase associated lipocalin,neutrophil gelatinase associated lipocalin
ellislcn2,ellislcn2
pp1r18,pp1r18
neutrophil gelatinase-2,neutrophil gelatinase-2
pkcfisetin,pkcfisetin
retinoid x receptor,retinoid x receptor
mmp9,gelb
escc,escc
lipocalin,lipocalin
ppp1r18,ppp1r18
anti-erk1/2,anti-erk1/2
pc-klf15,pc-klf15
rxrlipocalin 2,rxrlipocalin 2
misp,dkfzp686h18209
neutrophil gelatinase-associated lipocalin,neutrophil gelatinase-associated lipocalin
pkc isozymes,pkc isozymes
rxrtpa,rxrtpa
c/ebp-deltae74-like factor,c/ebp-deltae74-like factor
mouse anti-p-erk1,mouse anti-p-erk1
lcn2,lcn2
p-38,p-38
ngal genethere,ngal genethere
c/ebp-beta,lap
pc-rxrto,pc-rxrto
lcn2 gene,lcn2 gene
lipocalin family,lipocalin family
ap,ap
lgr5^ sup+^,lgr5^ sup+^
yap oncoprotein,yap oncoprotein
lats1/2,lats1/2
cck-8,cck-8
glyceraldehyde 3-phosphate dehydrogenase,glyceraldehyde 3-phosphate dehydrogenase
hippo,hippo
ctgf gene,ctgf gene
tazyap,tazyap
lats1 mrna,lats1 mrna
laminin receptors,laminin receptors
proteinase k,proteinase k
lats1,warts
phosphorylated yap,phosphorylated yap
shyap,shyap
gata4,avsd
yes-associated protein,yes-associated protein
tead4,reps2
mcs,gpx4
hu6,hu6
yap,hcca1
ctfg proteins,ctfg proteins
bovine serum albumin,bovine serum albumin
upstream lats1,upstream lats1
lats2,lats2
vgll4,vgl-4
yapyap,yapyap
hippo-yap,hippo-yap
sa-β-gal,sa-β-gal
taz,lvncx
lats,lats
sh-control,sh-control
egfp,egfp
collagen type 2,collagen type 2
sh-control duplexes,sh-control duplexes
β-catenin destruction complex,β-catenin destruction complex
collagen type ii,collagen type ii
p-yap,p-yap
cad-11,cad-11
usp28,usp28
ctgf protein,ctgf protein
breast cancer susceptibility gene product,breast cancer susceptibility gene product
jak-stat,jak-stat
itgb1,vlab
pml,pml
reactomefi,reactomefi
receptor tyrosine kinase,receptor tyrosine kinase
t-snare syntaxin 6regulation,t-snare syntaxin 6regulation
itgb7,itgb7
col5a3,col5a3
fam3c,ilei
c3 isoformthe,c3 isoformthe
csf1r,m-csf-r
ddp,ddp1
rap1p,rap1p
itgb4,lap1c
receptor 2,receptor 2
fgfr4,tkf
rap1,krev-1
pdgfra,cd140a
dantzig,dantzig
clathrin,clathrin
skov3,skov3
tuberous sclerosis tumor suppressor complex,tuberous sclerosis tumor suppressor complex
3-kinase,3-kinase
stk11,hlkb1
ywhaz,ywhad
l1000,l1000
fgfr,fgfr
vamp-7,vamp7
pdgfrsgk1,pdgfrsgk1
fibroblast growth factor receptor 2 iiib,fibroblast growth factor receptor 2 iiib
frs2,frs1a
pp2r3a,pp2r3a
efgr,efgr
kdr,kdr
casein kinase 1 isoforms,casein kinase 1 isoforms
animaltfdb,animaltfdb
jak,jak
rap1a,krev-1
ugin,ugin
ccnd1,prad1
tuberinlama2,tuberinlama2
raf,raf
csnk1d,cki-delta
copii,copii
vascular endothelial growth factor receptor 2,vascular endothelial growth factor receptor 2
nf- akt1,nf- akt1
fgfr2,bbds
tnn,tn-w
stat,ipip27a
mitogen activated protein (map) kinase,mitogen activated protein (map) kinase
pi3-kinase,pi3-kinase
sgk1,sgk1
hsp90aa,hsp90aa
receptor tyrosine kinasesaberrant,receptor tyrosine kinasesaberrant
platelet-derived growth factor phospholipase c,platelet-derived growth factor phospholipase c
il7r,cd127
fgf17,bfgf
tsc1,tsc4
sgk1 gene,sgk1 gene
-ethylmaleimide–sensitive factor attachment protein receptors,-ethylmaleimide–sensitive factor attachment protein receptors
ribosomal protein genes,ribosomal protein genes
ecm protein,ecm protein
nfκb,nfκb
csf-1r,m-csf-r
integrinplasma fibronectin,integrinplasma fibronectin
fns,fns
integrinscd133,integrinscd133
p53 target genesisolation,p53 target genesisolation
zl,zl
gelatinase,gelatinase
cam-dr,cam-dr
mdr1,kiaa0882
anti-gapdh antibody,anti-gapdh antibody
matrix metallopeptidases (mmps)-2 and -9,matrix metallopeptidases (mmps)-2 and -9
fibronectin iii-1 domain,fibronectin iii-1 domain
αpi3k,αpi3k
heterodimeric integrins,heterodimeric integrins
ss3/ss5 receptor,ss3/ss5 receptor
annexin-v,annexin-v
sirt1,sir2alpha
extracellular signal-regulated kinasethe,extracellular signal-regulated kinasethe
trail,tl2
p-glycoprotein,p-glycoprotein
spy1,ringo3
abcg2 protein,abcg2 protein
tata-box basal,tata-box basal
abc transportersfocal adhesion kinase,abc transportersfocal adhesion kinase
notch1,hn1
abcg2,ne-dlg
cd133tie2,cd133tie2
abc transporters,abc transporters
β-tubulin,β-tubulin
stat3p53,stat3p53
fn,hapo
αvβ5,αvβ5
mir-449a,mirn449
nes,flj21841
bcrp,ne-dlg
sox-2,sox-2
horse radish peroxidase,horse radish peroxidase
p53 protein,p53 protein
fibronectin,fibronectin
kip1,sip2-28
abc transporter families,abc transporter families
hes1,gatd3a
annexin v,annexin v
sfk,sfk
ect,ect
glial fibrillary acidic protein,glial fibrillary acidic protein
type iv collagen,type iv collagen
focal adhesion kinase,focal adhesion kinase
myc-associated zinc-finger proteincpeb1,myc-associated zinc-finger proteincpeb1
rb tumor suppressor,rb tumor suppressor
iv collagenase,iv collagenase
mrp,muc2
ki-67 protein,ki-67 protein
human abcb1,human abcb1
rb proteinsregulation,rb proteinsregulation
jp-153,jp-153
mdm2long,mdm2long
fibronectin 1downregulation,fibronectin 1downregulation
wnt10a,ssps
apc complex,apc complex
tcf,tcf-1
nuclear pten,nuclear pten
zeb1,bzp
emt activating transcription factors,emt activating transcription factors
-catenin,-catenin
tumor necrosis factor αandepithelial,tumor necrosis factor αandepithelial
cdk6,plstire
mst1/2,mst1/2
notch2,notch2
rna-binding factor hur,rna-binding factor hur
snail-1,snail-1
twist1,scs
lymphoid enhancer factor,lymphoid enhancer factor
tead,tead
factor type 1 receptor,factor type 1 receptor
wnt target genes,wnt target genes
lipoxygenase,lipoxygenase
gli3,dnai1
kras gene,kras gene
muc2,muc2
cancerepha2,cancerepha2
frizzled receptor,frizzled receptor
erb-b family receptors,erb-b family receptors
gli1,ppd1
apc,gpr44
secreted frizzled related protein,secreted frizzled related protein
hh-related target genes,hh-related target genes
cyclin d2,cyclin d2
wnt-2,wnt-2
manganese superoxide dismutase,manganese superoxide dismutase
notch1 receptor,notch1 receptor
rela,hsn2
nfkb1,nfkb-p105
insulin-like growth factor-i receptor,insulin-like growth factor-i receptor
retinoblastoma,retinoblastoma
wnt ligand,wnt ligand
gli2,thp1
jagged2,jagged2
e-cadherinbevacizumab,e-cadherinbevacizumab
lox,aat10
vimentin,vimentin
transmembrane receptor ptch,transmembrane receptor ptch
β-catenin,β-catenin
jagged1,jagged1
"vascular endothelial growth factor receptor 1, 2, and 3","vascular endothelial growth factor receptor 1, 2, and 3"
ck1,ehk
rhoa,rho12
gsk3,gsk3
snail,snail
transform growth factor beta 1,transform growth factor beta 1
fze3,fzd7
notch receptor,notch receptor
k-ras,ki-ras
hsfrp,hsfrp
n-ras,cmns
p27kip1,sip2-28
slug,slug
hypoxia-inducible factor-1,hypoxia-inducible factor-1
c-rel,c-rel
synthase 1 and 2,synthase 1 and 2
tcf7l2,sef2-1a
rhotekin,rhotekin
sonic hedgehog protein,sonic hedgehog protein
cox enzymes,cox enzymes
nodal,htx5
hh pathwaywnt proteins,hh pathwaywnt proteins
frizzled,frizzled
y-secretase,y-secretase
p21waf1,p21waf1
activin,inhbe
nfkb2,lyt-10
sall4,hsal4
vascular endothelial growth factor,vascular endothelial growth factor
ancersnotch3,ancersnotch3
hmg,hmg
dishevelled,dishevelled
mcc,mcc1
sfrp genes,sfrp genes
ptch receptor,ptch receptor
cd44,in
proto-oncogene β-catenin,proto-oncogene β-catenin
cox-1,cox-1
snail gene,snail gene
kb family,kb family
smoothened,smoothened
cyclooxygenase,cyclooxygenase
transforming growth factor βin,transforming growth factor βin
mmp,mmp
zeb-1,zeb-1
transforming growth factor-βtype i receptor gene,transforming growth factor-βtype i receptor gene
tgm,tgm
yap1recurrent,yap1recurrent
lipoprotein receptor-related protein 5,lipoprotein receptor-related protein 5
inhibin,inhibin
wnt pathwaytransglutaminase,wnt pathwaytransglutaminase
oncogenic gtpase,oncogenic gtpase
maml1,kiaa0200
fgfr2 gene,fgfr2 gene
relb,imd53
twist,scs
tgf-β1 gene,tgf-β1 gene
bone morphogenetic proteins,bone morphogenetic proteins
cdh1,fzr2
emt factorsmmps,emt factorsmmps
lef,lef
tgf-β1,tgf-β1
wnt pathway genes,wnt pathway genes
yap1,yap2
sip1,octs2
ern,ern
matrix metalloproteinases mmp-2,matrix metalloproteinases mmp-2
matrix metalloproteinase 9,matrix metalloproteinase 9
sox2,sox2
il-8 gene,il-8 gene
