Gene,Reference
receptor 2,receptor 2
rap1p,rap1p
mitogen activated protein (map) kinase,mitogen activated protein (map) kinase
ugin,ugin
efgr,efgr
skov3,skov3
abc transportersfocal adhesion kinase,abc transportersfocal adhesion kinase
csf-1r,m-csf-r
gelatinase,gelatinase
nfκb,nfκb
annexin v,annexin v
mdm2long,mdm2long
fns,fns
myc-associated zinc-finger proteincpeb1,myc-associated zinc-finger proteincpeb1
heterodimeric integrins,heterodimeric integrins
ect,ect
fn,hapo
nes,flj21841
αvβ5,αvβ5
integrinscd133,integrinscd133
rb tumor suppressor,rb tumor suppressor
cd133tie2,cd133tie2
iv collagenase,iv collagenase
integrinplasma fibronectin,integrinplasma fibronectin
stat3p53,stat3p53
jp-153,jp-153
tata-box basal,tata-box basal
zl,zl
fibronectin 1downregulation,fibronectin 1downregulation
αpi3k,αpi3k
ecm protein,ecm protein
extracellular signal-regulated kinasethe,extracellular signal-regulated kinasethe
β-tubulin,β-tubulin
rb proteinsregulation,rb proteinsregulation
mir-449a,mirn449
ss3/ss5 receptor,ss3/ss5 receptor
p53 target genesisolation,p53 target genesisolation
annexin-v,annexin-v
matrix metallopeptidases (mmps)-2 and -9,matrix metallopeptidases (mmps)-2 and -9
tgf-βsignaling,tgf-βsignaling
synthase 1 and 2,synthase 1 and 2
lef,lef
factor beta,factor beta
hh-related target genes,hh-related target genes
"vascular endothelial growth factor receptor 1, 2, and 3","vascular endothelial growth factor receptor 1, 2, and 3"
cd24+,cd24+
emt activating transcription factors,emt activating transcription factors
tgf-β1,tgf-β1
transmembrane receptor ptch,transmembrane receptor ptch
hh pathwaywnt proteins,hh pathwaywnt proteins
smoothened,smoothened
e-cadherinbevacizumab,e-cadherinbevacizumab
cd44,in
hypoxia-inducible factor-1,hypoxia-inducible factor-1
lipoprotein receptor-related protein 5,lipoprotein receptor-related protein 5
ern,ern
notch1 receptor,notch1 receptor
β-catenin,β-catenin
ancersnotch3,ancersnotch3
emt factorsmmps,emt factorsmmps
wnt-2,wnt-2
lipoxygenase,lipoxygenase
-catenin,-catenin
wnt pathway genes,wnt pathway genes
yap1recurrent,yap1recurrent
fze3,fzd7
wnt target genes,wnt target genes
inhibin,inhibin
tumor necrosis factor αandepithelial,tumor necrosis factor αandepithelial
cyclooxygenase,cyclooxygenase
transforming growth factor βin,transforming growth factor βin
kb family,kb family
hsfrp,hsfrp
tgm,tgm
dishevelled,dishevelled
cancerepha2,cancerepha2
frizzled,frizzled
nuclear pten,nuclear pten
bynf-κb,bynf-κb
secreted frizzled related protein,secreted frizzled related protein
erb-b family receptors,erb-b family receptors
tead,tead
wnt pathwaytransglutaminase,wnt pathwaytransglutaminase
vimentin,vimentin
muc5ac,leb
y-secretase,y-secretase
tcf7l2,sef2-1a
tcf,tcf-1
japanesekras mutations,japanesekras mutations
factor type 1 receptor,factor type 1 receptor
hmg,hmg
alexa fluor® 64,alexa fluor® 64
rabbit anti-human pdgfrβ,rabbit anti-human pdgfrβ
sfks,sfks
anti-human cd318,anti-human cd318
pdgfrbeta,pdgfrbeta
streptavidin-biotin-peroxidase,streptavidin-biotin-peroxidase
inase tyrosine 861,inase tyrosine 861
progesterone receptors,progesterone receptors
cub domain-containing protein,cub domain-containing protein
growth factor receptors,growth factor receptors
phospho-cdcp1 (tyr734),phospho-cdcp1 (tyr734)
erk1/2the,erk1/2the
containing protein-1extracellular signal-regulated kinases 1–2fluorescent,containing protein-1extracellular signal-regulated kinases 1–2fluorescent
whf,whf
anti-pdgfrβ,anti-pdgfrβ
cdcp1ihc,cdcp1ihc
pdgfr beta signallingcdcp1,pdgfr beta signallingcdcp1
cub,cub
src kinasesadhesion,src kinasesadhesion
tncbs,tncbs
dako,dako
src-associated protein,src-associated protein
procancer cdcp1,procancer cdcp1
estrogen receptors,estrogen receptors
stromal platelet-derived growth factor beta-receptor,stromal platelet-derived growth factor beta-receptor
tyrosine 734cub-domain-containing protein 1,tyrosine 734cub-domain-containing protein 1
mouse monoclonal anti-phospho-pdgfrβ (tyr751),mouse monoclonal anti-phospho-pdgfrβ (tyr751)
growth factor receptor,growth factor receptor
c2,cfab
src family kinasesstructural,src family kinasesstructural
cdcp1 tyr734,cdcp1 tyr734
pkc{delta},pkc{delta}
erk1/2cell,erk1/2cell
-derived growth factor,-derived growth factor
phosphotyrosine phosphatasespdgfrβ,phosphotyrosine phosphatasespdgfrβ
mouse igg,mouse igg
tau,maptl
glycogen synthase kinase,glycogen synthase kinase
anti-pgsk-3β,anti-pgsk-3β
-pnf-κb,-pnf-κb
nuclear and cytoplasmic protein,nuclear and cytoplasmic protein
nuclear factor-κb,nuclear factor-κb
endothelial vcam-1,endothelial vcam-1
fshrfsh,fshrfsh
fshwe,fshwe
factor kappab,factor kappab
caspase-3follicle-stimulating hormone,caspase-3follicle-stimulating hormone
ccne1quercetin,ccne1quercetin
cyclind1,cyclind1
pathwaynf-κb,pathwaynf-κb
streptavidin–,streptavidin–
programmed cell death ligand 1,programmed cell death ligand 1
nase-2,nase-2
"indoleamine 2,3-dioxygenaseincreased","indoleamine 2,3-dioxygenaseincreased"
"eamine 2,3-dioxygenase","eamine 2,3-dioxygenase"
-l1,-l1
ido,ido
human ido1,human ido1
-dioxygenase,-dioxygenase
"2,3-dioxygenase 1","2,3-dioxygenase 1"
si-nc,si-nc
"2,3-dioxygenase","2,3-dioxygenase"
ggc-3,ggc-3
si-ido1 sequences,si-ido1 sequences
dioxygenase 1,dioxygenase 1
"indoleamine 2,3 dioxygenaseido1","indoleamine 2,3 dioxygenaseido1"
prostate cancerpd-l1,prostate cancerpd-l1
bronchoalveolar lavage fluid (balf),bronchoalveolar lavage fluid (balf)
sensor stromal interaction molecule 1,sensor stromal interaction molecule 1
stim proteinsconformational,stim proteinsconformational
stromal-interacting molecule 1,stromal-interacting molecule 1
canonical (trpc) 1 and 4 channels,canonical (trpc) 1 and 4 channels
transcription factors nf-κb,transcription factors nf-κb
machineryorai1,machineryorai1
eroxidase,eroxidase
crac channelsbtp2,crac channelsbtp2
stim1trpv4,stim1trpv4
tnf-alphaactivation,tnf-alphaactivation
c- and n-terminal stim1,c- and n-terminal stim1
pkcα,pkcα
phospholipase a,phospholipase a
tim1,tim-1
capkc,capkc
btp2a,btp2a
noss,noss
nos,ino1
kfs wer,kfs wer
p-p70s6k,p-p70s6k
hif-1α,hif-1α
anti-human,anti-human
ex taq,ex taq
pyruvate kinase,pyruvate kinase
-beta1,-beta1
cck,cardiak
transforming growth factor,transforming growth factor
zonula occludens-1,zonula occludens-1
fbw7bcl-2 family proteins,fbw7bcl-2 family proteins
bcl,bcl
bcl-2 family,bcl-2 family
bfl-1bcl-2 family,bfl-1bcl-2 family
the f,the f
n of topoisom,n of topoisom
cholera toxin,cholera toxin
n of ,n of 
bcl-,bcl-
abt-73,abt-73
ough ,ough 
anti-apoptotic bcl-2 family,anti-apoptotic bcl-2 family
 an, an
pro-apoptotic bcl-2 family proteins,pro-apoptotic bcl-2 family proteins
chemokine receptor cxcr4potential,chemokine receptor cxcr4potential
p-erk,p-erk
chpl,chpl
ap-,ap-
 fo, fo
bcl-2discovery,bcl-2discovery
abt-737,abt-737
 an annex, an annex
oug,oug
elk-1,elk-1
s as ,s as 
flica,flica
bcl-2/xl,bcl-2/xl
bh3-only proteinsacquired,bh3-only proteinsacquired
"k, ribosomal s6 kin","k, ribosomal s6 kin"
mtt,mtt
antitubulin,antitubulin
s in,s in
cellsmcl-1,cellsmcl-1
f a cas,f a cas
l; ,l; 
vegfr2+,vegfr2+
cd133+,cd133+
epc,epc
gamma delta,gamma delta
transforming growth factor beta1endothelial,transforming growth factor beta1endothelial
osteoclastogenesisosteoprotegerin,osteoclastogenesisosteoprotegerin
mir-,mir-
c-kit,kit
epcs,epcs
hematoxylin-eosin,hematoxylin-eosin
goat anti-rabbit igg,goat anti-rabbit igg
receptor activator of nf-κb,receptor activator of nf-κb
bmp-2,bmp-2
bone morphogenetic protein,bone morphogenetic protein
lin(−),lin(−)
sca-1+,sca-1+
human papillomavirus oncoproteins,human papillomavirus oncoproteins
migrationmir-506,migrationmir-506
hedgehog gene,hedgehog gene
truncated gli3,truncated gli3
gant61,gant61
hedgehog signaling,hedgehog signaling
hedgehog signaling molecules,hedgehog signaling molecules
fak - related nonkinase,fak - related nonkinase
cadherins,cadherins
integrins,integrins
n - cadherin,n - cadherin
p130 crk - associated substrate,p130 crk - associated substrate
integrin,integrin
proline - rich tyrosine kinase 2,proline - rich tyrosine kinase 2
platelet ‐ derived growth factor,platelet ‐ derived growth factor
astrocyte nf1 gene,astrocyte nf1 gene
neurofibromatosis 1,neurofibromatosis 1
phospatase ‐ 2,phospatase ‐ 2
mammalian target of rapamycin,mammalian target of rapamycin
insulin ‐ like growth factor,insulin ‐ like growth factor
sh2 domain,sh2 domain
phosphatidylinositol 3 ‐ kinase,phosphatidylinositol 3 ‐ kinase
mycc,myc
n ‐ myc,n ‐ myc
p21 ‐ ras,p21 ‐ ras
phosphatidylinositol 3 ’ - kinase,phosphatidylinositol 3 ’ - kinase
erbb3 erbb3,erbb3 erbb3
phosphatidylinositol 3 - kinase,phosphatidylinositol 3 - kinase
erbb receptors,erbb receptors
her - family tyrosine kinase,her - family tyrosine kinase
erbb,errp
chicken epidermal growth factor ( egf ) receptor,chicken epidermal growth factor ( egf ) receptor
neuregulin,neuregulin
heregulin,heregulin
shc,shc
c - src,c - src
egf family,egf family
e,e
epidermal growth factor receptor - related gene,epidermal growth factor receptor - related gene
c - erbb - 3 binding sites,c - erbb - 3 binding sites
protein tyrosine kinase,protein tyrosine kinase
c - erbb - 3,c - erbb - 3
her proteins,her proteins
her3 ) receptor,her3 ) receptor
elmo,elmo
ced - 10,ced - 10
mig - 2,mig - 2
actin,actin
sli - 1 cbl,sli - 1 cbl
ced - 5,ced - 5
ced - 12,ced - 12
zap - 70 kinase,zap - 70 kinase
abi - 1,abi - 1
syk family,syk family
gex - 2,gex - 2
dock180,ced5
gef,psmd7
trio,tgat
mtm - 1,mtm - 1
rhogap,arhgap1
1,1
wasp - family protein,wasp - family protein
gex - 3 proteins,gex - 3 proteins
srgp - 1,srgp - 1
unc - 73,unc - 73
metalloproteinase - 9,metalloproteinase - 9
matrix metalloproteinase - 9,matrix metalloproteinase - 9
matrix - metalloproteinase - 9,matrix - metalloproteinase - 9
nk - 1r,nk - 1r
nf - κb,nf - κb
hiv - 1 tat protein,hiv - 1 tat protein
"claudin - 1, - 2 and - 5","claudin - 1, - 2 and - 5"
gfap,alxdrd
claudin - 5,claudin - 5
claudin - 1 and - 2,claudin - 1 and - 2
caspase,caspase
ha - ras,ha - ras
c - jun activation domain,c - jun activation domain
bcl - 2 family member bim,bcl - 2 family member bim
ced - 1,ced - 1
p53 - binding protein 1,p53 - binding protein 1
cd91,lambr
dynein motor complex p53,dynein motor complex p53
lc,lc
cyclin - dependent kinase 2,cyclin - dependent kinase 2
ced - 6,ced - 6
low density lipoprotein receptor - related protein,low density lipoprotein receptor - related protein
dynein cytoplasmic dynein,dynein cytoplasmic dynein
dynein,dynein
8 - kda dynein light chain,8 - kda dynein light chain
ced - 2,ced - 2
cyclophilin a peptidyl - prolyl isomerase,cyclophilin a peptidyl - prolyl isomerase
apoptosis - inducing factor,apoptosis - inducing factor
human cyclophilin a prolyl isomerase,human cyclophilin a prolyl isomerase
immunophilins,immunophilins
vid22p,vid22p
cyclophilin - gag,cyclophilin - gag
peptidyl prolyl cis - trans isomerase,peptidyl prolyl cis - trans isomerase
cyclophilins,cyclophilins
cyclophilin a - def,cyclophilin a - def
collagen,collagen
"fructose - 1, 6 - bisphosphatase","fructose - 1, 6 - bisphosphatase"
erk1 / 2,erk1 / 2
peptidyl - prolyl cis - trans - isomerase cyclosporin a,peptidyl - prolyl cis - trans - isomerase cyclosporin a
wnt,wnt
en - 2,en - 2
en - 2 homeobox,en - 2 homeobox
homeo box - containing gene,homeo box - containing gene
engrailed - 2 mutants,engrailed - 2 mutants
en -,en -
engrailed - 2,engrailed - 2
homeo box - containing genes,homeo box - containing genes
lipocalin - 2,lipocalin - 2
luciferase reporter,luciferase reporter
muc4,muc4
mcm2 - 8,mcm2 - 8
mcm2 - 7 complex,mcm2 - 7 complex
mcm2 - 7 helicase,mcm2 - 7 helicase
gins complex,gins complex
mcm double - hexamer,mcm double - hexamer
mcm2 - 7 double hexamers,mcm2 - 7 double hexamers
rlf - b,rlf - b
orc,orc
mcm2 - 7,mcm2 - 7
gins,gins
tgf - β,tgf - β
ifn - γ,ifn - γ
interleukin - 18,interleukin - 18
ifn - β,ifn - β
toll - like receptors,toll - like receptors
toll - like receptor,toll - like receptor
nk1.,nk1.
tlr4,armd10
il - 18,il - 18
tlr,tlr
nlrp3,ifrc
myeloid differentiation factor 88,myeloid differentiation factor 88
bax,bcl2l4
igf - 1,igf - 1
lamin b1,lamin b1
insulin - like growth factor 1,insulin - like growth factor 1
linchpin,linchpin
subcytotoxic h,subcytotoxic h
sclu,sclu
hif2alpha,hif2alpha
cgi - 58,cgi - 58
macrophage alpha1 amp - activated protein kinase,macrophage alpha1 amp - activated protein kinase
parathyroid hormone - related protein,parathyroid hormone - related protein
hif1α,hif1α
vegf,vegf
hypoxia - inducible factor 1alpha,hypoxia - inducible factor 1alpha
hif1alpha,hif1alpha
adipokines,adipokines
hif - 1alpha,hif - 1alpha
alpha1ampk,alpha1ampk
il - 1beta,il - 1beta
ikkbeta,ikkbeta
il - 13,il - 13
hypoxia - inducible factor - 1alpha,hypoxia - inducible factor - 1alpha
glucagon - like peptide -,glucagon - like peptide -
interleukin - 6,interleukin - 6
tgf - beta,tgf - beta
signal transducer and activator of transcription ( stat ) 3,signal transducer and activator of transcription ( stat ) 3
parkin,pdj
leucine - rich repeat kinase 2,leucine - rich repeat kinase 2
gtpase domain,gtpase domain
lrrk2 gtp binding,lrrk2 gtp binding
inhibitors of leucine - rich repeat kinase - 2,inhibitors of leucine - rich repeat kinase - 2
parkinson ’ s,parkinson ’ s
mutant leucine - rich repeat kinase 2,mutant leucine - rich repeat kinase 2
lrk - 1,lrk - 1
lrrk2 lrrk2 kinase,lrrk2 lrrk2 kinase
familial parkinsonism gene,familial parkinsonism gene
c - abl,c - abl
parkinson disease leucine - rich repeat kinase 2,parkinson disease leucine - rich repeat kinase 2
extracellular signal - regulated kinase 1 / 2,extracellular signal - regulated kinase 1 / 2
liver x receptor - α,liver x receptor - α
angiotensin i - converting enzyme,angiotensin i - converting enzyme
p38 mitogen - activated protein kinase,p38 mitogen - activated protein kinase
lxrα,lxrα
cardiac renin,cardiac renin
angiotensin - ( 1 - 7 ),angiotensin - ( 1 - 7 )
sterol regulatory element binding protein - 1c,sterol regulatory element binding protein - 1c
atrap angiotensin ii type - 1 receptor,atrap angiotensin ii type - 1 receptor
mitogen - 1 activated protein kinase,mitogen - 1 activated protein kinase
angiotensin,angiotensin
liver x receptor - alpha,liver x receptor - alpha
p38 map,p38 map
peptide ll - 37,peptide ll - 37
chemokine receptor 4,chemokine receptor 4
pge2,pge2
transcription,transcription
ets - 1,ets - 1
ll - 37,ll - 37
cathelicidin ll - 37,cathelicidin ll - 37
anti - tgf - beta,anti - tgf - beta
ep3,ep3-ii
transforming growth factor - beta,transforming growth factor - beta
lipo - pge1,lipo - pge1
cathelicidin family,cathelicidin family
interleukin - 8,interleukin - 8
thymosin beta - 4,thymosin beta - 4
5 - hydroxytryptamine 1a receptor gene,5 - hydroxytryptamine 1a receptor gene
comt,comt
g - o,g - o
human serotonin transporter gene,human serotonin transporter gene
ikappab - zeta,ikappab - zeta
c / ebp - beta,c / ebp - beta
nuclear factor - muc4,nuclear factor - muc4
tumor necrosis factor - alpha,tumor necrosis factor - alpha
neutrophil gelatinase - associated lipocalin,neutrophil gelatinase - associated lipocalin
ochratoxin a,ochratoxin a
tumour stroma - derived lipocalin - 2,tumour stroma - derived lipocalin - 2
nf -,nf -
lipocalin - 2 protein,lipocalin - 2 protein
c - myc,c - myc
interleukin - 17,interleukin - 17
c / ebp - delta e74 - like factor 3,c / ebp - delta e74 - like factor 3
acute,acute
mmp - 9,mmp - 9
taz yap,taz yap
β - catenin,β - catenin
yap yap,yap yap
cardiac growth large tumor suppressor homologs 1 and 2,cardiac growth large tumor suppressor homologs 1 and 2
cad - 11,cad - 11
collagen type ii,collagen type ii
hippo,hippo
lats1 / 2,lats1 / 2
ywhaz,ywhad
tuberin lama2,tuberin lama2
egfr,errp
copii,copii
fibronectin iii - 1 domain,fibronectin iii - 1 domain
extracellular signal - regulated kinase,extracellular signal - regulated kinase
fibronectin,fibronectin
abcg2,ne-dlg
sfk,sfk
estrogen - related receptor α1,estrogen - related receptor α1
csf - 1r,csf - 1r
pi3 - kinase,pi3 - kinase
αvβ5 integrin,αvβ5 integrin
cyclin - dependent kinase,cyclin - dependent kinase
αv - integrin ss3,αv - integrin ss3
p21waf1,p21waf1
e - cadherin,e - cadherin
tp53,lfs1
sfrp genes,sfrp genes
tissue transglutaminase - 1,tissue transglutaminase - 1
cyclooxygenase - 2,cyclooxygenase - 2
retinoblastoma,retinoblastoma
notch,notch
muc,muc
cub - domain - containing protein 1,cub - domain - containing protein 1
src - associated protein cub domain - containing protein - 1,src - associated protein cub domain - containing protein - 1
hif - 2alpha,hif - 2alpha
pkcdelta,pkcdelta
gp140,gp140
cub domain - containing protein 1,cub domain - containing protein 1
cub - domain containing protein 1,cub - domain containing protein 1
glycoprotein cdcp1,glycoprotein cdcp1
pdgfrβ,pdgfrβ
focal adhesion kinase tyrosine 861,focal adhesion kinase tyrosine 861
pkc { delta },pkc { delta }
src substrate,src substrate
beta1 integrin,beta1 integrin
insulin - like growth factor - i,insulin - like growth factor - i
fsh,rnf3a
follicle - stimulating hormone,follicle - stimulating hormone
fshr fsh,fshr fsh
vcam - 1,vcam - 1
luteinizing hormone,luteinizing hormone
a - kinase anchoring protein 95,a - kinase anchoring protein 95
hormone,hormone
follicle - stimulating hormone receptors,follicle - stimulating hormone receptors
follicular stimulating hormone,follicular stimulating hormone
"indoleamine 2, 3 - dioxygenase 1","indoleamine 2, 3 - dioxygenase 1"
jak,jak
"indoleamine 2, 3 - dioxygenase","indoleamine 2, 3 - dioxygenase"
pd - l1,pd - l1
il - 6,il - 6
tnf - alpha,tnf - alpha
p120 - catenin,p120 - catenin
c - fos,c - fos
trp,tyrp
orai,orai
stromal - interacting molecule 1,stromal - interacting molecule 1
dicer enzyme,dicer enzyme
sphingosine -,sphingosine -
sphingosine kinase - 1,sphingosine kinase - 1
group v phospholipase a ( 2 ),group v phospholipase a ( 2 )
c - src tyrosine kinase,c - src tyrosine kinase
protein kinase c - alpha,protein kinase c - alpha
stim,stim
nos isoforms,nos isoforms
nitric oxide synthases,nitric oxide synthases
nos family members,nos family members
transforming growth factor - beta1,transforming growth factor - beta1
pkm2,cdk11-p110
hif - 1,hif - 1
hif - 1α,hif - 1α
smad,smad
hif,hif
rock,rock
amp kinase,amp kinase
metformin,metformin
mcl1,thph12
mcl - 1,mcl - 1
bcl - x,bcl - x
l,l
glycogen synthase kinase - 3β,glycogen synthase kinase - 3β
elk - 1,elk - 1
bcl - 2,bcl - 2
bmp - 2,bmp - 2
nadph oxidase,nadph oxidase
il - 17,il - 17
bone morphogenetic protein - 2,bone morphogenetic protein - 2
transforming growth factor beta1,transforming growth factor beta1
+,+
cd55,cripto-1
breast,breast
praichu-rac,praichu-rac
protein tyrosine kinases,protein tyrosine kinases
rac1,rns1
lung,lung
p130cas,p120cas
recruitment,recruitment
mouse fak,mouse fak
rho family gtpases,rho family gtpases
mutant paxillin cdna,mutant paxillin cdna
prostate,prostate
nh,nh
n-cadherin,n-cadherin
integrin β1–positive fas,integrin β1–positive fas
fak mutants,fak mutants
fa,fanch
pyk2,cakb
tyrosine kinase 2,tyrosine kinase 2
mouse fak cdna,mouse fak cdna
pbs,pbr
fat,gp6
fak,fak
crk-associated substrate,crk-associated substrate
p130,rab3gap130
vinculin,vinculin
fat domain,fat domain
rac1 mutants,rac1 mutants
trypsin,trypsin
frnk,fak
cadherin,cdh17
fak-related nonkinase,fak-related nonkinase
fyn,syn
crk,mapk14
fig. s4,fig. s4
human fak sirna,human fak sirna
cdc42,cdc42
protein tyrosine kinases like src,protein tyrosine kinases like src
rac1 (rac1g12v),rac1 (rac1g12v)
paxillin,paxillin
collagen type i,collagen type i
paxillin sirna,paxillin sirna
vascular,vascular
fig. s1,fig. s1
fas,spf
collagen i receptor,collagen i receptor
human paxillin cdna,human paxillin cdna
smo,hspc022
trp53 mutant,trp53 mutant
tumor–stroma,tumor–stroma
ros fusion tyrosine kinase,ros fusion tyrosine kinase
pi3k,cst-1
vascular‐endothelial growth factor receptor,vascular‐endothelial growth factor receptor
epidermal growth factor receptor gene,epidermal growth factor receptor gene
dna ligase,dna ligase
recombinant platelet‐derived growth factor b‐chain,recombinant platelet‐derived growth factor b‐chain
blood–brain,blood–brain
platelet‐derived growth factor,platelet‐derived growth factor
c‐myc,c‐myc
tg,tgn
pten,glm2
pdgfr,cd140b
stem,stem
ink4a‐arf,ink4a‐arf
desmoplastic,desmoplastic
cerebellum,cerebellum
axis,axis
syndromes,syndromes
vegfr,kdr
brain,brain
cerebellar,cerebellar
kras,ki-ras
fanconi anemia,fanconi anemia
human glioblastoma genes,human glioblastoma genes
p21‐ras,p21‐ras
parenchyma,parenchyma
ras,ras
ros oncogene,ros oncogene
shh,smmci
sv40 t antigen,sv40 t antigen
leptomeningeal,leptomeningeal
bone structure,bone structure
cdkn2,hist1h4d
p53 gene,p53 gene
pdgf,pdgf
li,li
layer,layer
sonic hedgehog,sonic hedgehog
tumor‐stroma,tumor‐stroma
akt,cakb
brca2,tas2r62p
rcas‐kras,rcas‐kras
gbm,gbm
epidermal growth factor receptor locus,epidermal growth factor receptor locus
arf,hist1h4d
p53,lfs1
xrcc4,ssmed
nf1,arcl
ptc1(+/−)p53,ptc1(+/−)p53
rcas‐akt‐driven,rcas‐akt‐driven
ros kinase,ros kinase
retinoblastoma gene,retinoblastoma gene
mutant epidermal growth factor receptor,mutant epidermal growth factor receptor
pdgf b‐chain,pdgf b‐chain
re‐use,re‐use
ku80,xrcc5
p16,p16
mtor,frap
receptor tyrosine kinases,receptor tyrosine kinases
syndrome,syndrome
stat3,hies
p53 mutations,p53 mutations
ink4c,apr3
pten mutation,pten mutation
mycn oncogene,mycn oncogene
rb1,rb1
epidermal growth factor receptor,epidermal growth factor receptor
optic,optic
insulin‐like growth factor,insulin‐like growth factor
optic nerve,optic nerve
phosphatidylinositol 3‐kinase,phosphatidylinositol 3‐kinase
rb,rb1
n‐myc,n‐myc
sh2 domain‐containing phospatase‐2,sh2 domain‐containing phospatase‐2
pdgf‐b,pdgf‐b
p53 tumor suppressor gene,p53 tumor suppressor gene
forebrains,forebrains
prb,rb1
basic fibroblast growth factor,basic fibroblast growth factor
cdk4,cdk4
bcl2,bcl-2
wnt5a,wnt5a
palb2,flj21816
c-jun n-terminal kinase,c-jun n-terminal kinase
mtap gene,mtap gene
chemoradiation,chemoradiation
map3k,map3k
smad4 protein,smad4 protein
ago,fbxw6
wnt2b,xwnt2
bak,bak-like
mmr proteins,mmr proteins
al,al
matrix metalloproteinase-7,matrix metalloproteinase-7
interleukin 1,interleukin 1
akt2 oncogene,akt2 oncogene
intestinal tract,intestinal tract
brca2 protein,brca2 protein
mitogen-activated protein kinase,mitogen-activated protein kinase
peutz-jeghers syndrome,peutz-jeghers syndrome
blind,blind
tumor necrosis factor,tumor necrosis factor
the syndrome,the syndrome
fancc,facc
bcl-x(l),bcl-x(l)
pancreatic,pancreatic
chronic pancreatitis,chronic pancreatitis
mts1,hist1h4d
foxo transcription factor,foxo transcription factor
hereditary pancreatitis,hereditary pancreatitis
mtap,tmem4
adam9,mcmpmltna
erk,haha1
organ,organ
mapk,mapk
colon,colon
ink4a,hist1h4d
spink1,pctt
caspase-9,caspase-9
matrix metalloproteinase 7,matrix metalloproteinase 7
cytochrome c,cytochrome c
pancreatitis,pancreatitis
sel10,fbxw6
p53 tumour suppressor gene,p53 tumour suppressor gene
protein kinase c iota,protein kinase c iota
ecm,gpia*
interleukin-1,interleukin-1
smad2,jv18
mekk-1,mekk-1
fbxw7,fbxw6
cystic,cystic
pan,ada2
tract,tract
cyclin d,cyclin d
oncogenic k-ras,oncogenic k-ras
alpha-and beta-catenins,alpha-and beta-catenins
methylthioadenosine phosphorylase,methylthioadenosine phosphorylase
pancreatic duct,pancreatic duct
dpc4 gene,dpc4 gene
map2k4,serk1
jnk,mapk8
map kinases,map kinases
e-cadherin proteins,e-cadherin proteins
brca2 region,brca2 region
smad4,madh4
hereditary disorders,hereditary disorders
psti,pctt
fbw7,fbxw6
tracts,tracts
brca2 6174delt,brca2 6174delt
phosphatidylinositol 3-kinase,phosphatidylinositol 3-kinase
wild-type k-ras,wild-type k-ras
mcl-1,thph12
map2k kinase,map2k kinase
a-disintegrin and metalloproteinase (adam) protein family,a-disintegrin and metalloproteinase (adam) protein family
hh,hfe
raf protein,raf protein
p15,mrp-l28
"syndrome, peutz-jeghers","syndrome, peutz-jeghers"
e-cadherin,e-cadherin
akt2,pkb-beta
k-ras oncogene,k-ras oncogene
metalloproteinase,metalloproteinase
mitogen-activated protein kinase kinase 4,mitogen-activated protein kinase kinase 4
mek,mapkk7
cdkn2a,hist1h4d
fancg,fancg
pancreas,pancreas
c-myc,myc
mutant c-k-ras genes,mutant c-k-ras genes
genetic disease,genetic disease
cyclin d1,cyclin d1
stress-activated protein kinase,stress-activated protein kinase
mapk kinase,mapk kinase
exocrine pancreas,exocrine pancreas
intestine,intestine
bcl-2,bcl-2
trypsinogen gene,trypsinogen gene
k-ras,ki-ras
protein kinase ciota,protein kinase ciota
notch ligand,notch ligand
mmr,mmr
dpc4,madh4
braf,b-raf
mkk4,serk1
smad4 gene,smad4 gene
acute pancreatitis,acute pancreatitis
map2k,map2k
group b,group b
brca2 gene,brca2 gene
mutations and homozygous deletions of the p16,mutations and homozygous deletions of the p16
e-cadherin protein,e-cadherin protein
p38,hld17
cdc4,fbxw6
gastro,gastro
mapk target genes,mapk target genes
alk,cd246
erbb3,ferlk
her4,hnrpa1
epidermal growth factor receptor family,epidermal growth factor receptor family
transforming growth factor alpha,transforming growth factor alpha
erbb3 gene product,erbb3 gene product
pi3 k,pi3 k
egf receptor proteins,egf receptor proteins
her3 receptor tyrosine kinase,her3 receptor tyrosine kinase
c-erbb-3 binding sites,c-erbb-3 binding sites
erbb2,sial1
erbb3 receptor,erbb3 receptor
epidermal growth factor receptor-related gene,epidermal growth factor receptor-related gene
uveal,uveal
anti-epidermal growth factor receptor,anti-epidermal growth factor receptor
egf family/erbb receptor family,egf family/erbb receptor family
egfr gene,egfr gene
mmac1,glm2
human epidermal growth factor receptors,human epidermal growth factor receptors
erbb3 kinase domain mutations,erbb3 kinase domain mutations
phosphatidylinositol 3’-kinase,phosphatidylinositol 3’-kinase
mutant egfr meet met,mutant egfr meet met
her-2,sial1
relapse,relapse
tyrosine kinase inhibitor,tyrosine kinase inhibitor
epidermal growth factor-related proteins,epidermal growth factor-related proteins
protein kinase gene family,protein kinase gene family
c-erbb-3 protein,c-erbb-3 protein
mammary,mammary
c-erbb proto-oncogene family members,c-erbb proto-oncogene family members
salivary gland,salivary gland
her-family tyrosine kinase,her-family tyrosine kinase
ovarian,ovarian
c-erbb-3,ferlk
kras gene,kras gene
anti-her3 antibody,anti-her3 antibody
src,thc6
grb2,grb3-3
erbb-receptor kinase family,erbb-receptor kinase family
erbb4,hnrpa1
neu,neur1
her4 receptors,her4 receptors
erbb3 antibody,erbb3 antibody
her kinase axis receptor dimer,her kinase axis receptor dimer
egf,egf
erbb receptor,erbb receptor
hrg1,hgl
